Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_189,A,312.50,36.53,171.88,50.07,43.60,50.07,-13.54,906.25,20.10,16.44,1.00
Bd_189,oh,312.50,50.13,156.25,47.28,50.44,21.39,28.74,1000.00,29.97,20.16,1.00
Bd_189,A,437.50,45.81,125.00,39.42,41.86,37.65,8.17,937.50,35.20,10.62,1.00
Bd_19,A,281.25,39.97,156.25,44.91,42.12,44.91,-4.95,937.50,1.18,38.79,1.00
Bd_19,oh,562.50,48.69,130.02,45.51,48.44,38.43,10.26,1000.00,29.10,19.59,1.00
Bd_190,i,1187.50,9.80,187.50,18.19,15.95,25.68,-15.88,906.25,7.23,2.57,1.00
Bd_190,oh,562.50,43.32,125.00,45.16,49.81,11.61,31.71,953.13,28.89,14.43,1.00
Bd_191,oh,437.50,47.40,187.50,44.57,48.52,36.88,10.52,875.00,22.67,24.73,1.00
Bd_192,A,500.00,31.45,167.70,41.17,35.18,41.17,-9.72,875.00,22.45,9.00,1.00
Bd_192,ee,296.88,35.41,93.75,39.39,41.61,4.44,30.97,906.25,9.08,26.33,1.00
Bd_193,oh,343.75,46.58,187.50,48.42,46.58,48.42,-1.83,906.25,26.88,19.70,1.00
Bd_193,i,406.25,31.47,93.75,39.00,39.62,19.70,11.77,937.50,19.60,11.87,1.00
Bd_196,oh,281.25,30.45,125.00,32.63,37.55,13.15,17.30,937.50,0.26,30.18,1.00
Bd_196,ee,1390.63,-0.70,125.00,14.38,10.21,18.17,-18.87,968.75,-8.78,8.08,1.00
Bd_198,A,437.50,38.35,156.25,39.08,43.44,8.07,30.28,937.50,29.07,9.28,1.00
Bd_199,ee,687.50,40.90,125.00,45.63,46.32,39.99,0.91,1000.00,38.90,2.00,1.00
Bd_199,A,375.00,47.06,187.50,41.77,47.06,15.73,31.33,1031.25,31.81,15.25,1.00
Bd_199,ee,203.13,32.56,109.38,36.74,32.56,36.74,-4.18,1000.00,-4.52,37.08,1.00
Bd_20,ee,250.00,30.20,125.00,32.84,30.20,32.84,-2.64,1000.00,-5.83,36.03,1.00
Bd_200,oh,1000.00,26.13,140.63,28.21,24.24,29.92,-3.79,1000.00,26.13,0.00,1.00
Bd_200,i,500.00,53.01,156.25,47.34,46.55,53.01,0.00,1000.00,29.02,23.99,1.00
Bd_200,ee,234.38,33.56,109.38,39.63,35.53,39.63,-6.07,1000.00,2.50,31.06,1.00
Bd_201,ee,281.25,33.30,93.75,42.65,44.54,19.90,13.39,968.75,5.22,28.08,1.00
Bd_202,oh,750.00,37.36,187.50,44.38,47.34,24.91,12.45,875.00,20.72,16.64,1.00
Bd_202,A,718.75,-2.33,153.34,14.15,6.72,16.18,-18.51,968.75,-1.58,-0.74,1.00
